English;Turkish;Phonetic;TurkishPronunciation;SampleEn;SampleTr;CategoryId;Difficulty
play;oynamak;/pleɪ/;pley;Children play outside.;Çocuklar dışarıda oynar.;1;1
read;okumak;/riːd/;riid;I read a book.;Kitap okurum.;3;1
write;yazmak;/raɪt/;rayt;I write a letter.;Mektup yazarım.;3;1
speak;konuşmak;/spiːk/;spiik;I speak English.;İngilizce konuşurum.;1;1
listen;dinlemek;/ˈlɪs.ən/;lisın;I listen to music.;Müzik dinlerim.;1;1
understand;anlamak;/ˌʌn.dərˈstænd/;andırstend;I understand you.;Seni anlıyorum.;3;1
learn;öğrenmek;/lɜːrn/;lörn;I learn English.;İngilizce öğreniyorum.;3;1
open;açmak;/ˈoʊ.pən/;opın;Open the window.;Pencereyi aç.;1;1
close;kapatmak;/kloʊz/;kloz;Close the door.;Kapıyı kapat.;1;1
buy;satın almak;/baɪ/;bay;I buy a car.;Bir araba satın alırım.;2;1
pay;ödemek;/peɪ/;pey;I pay the bill.;Hesabı öderim.;2;1
give;vermek;/ɡɪv/;giv;I give you a gift.;Sana hediye veririm.;1;1
take;almak;/teɪk/;teyk;Take this book.;Bu kitabı al.;1;1
make;yapmak;/meɪk/;meyk;I make a cake.;Kek yaparım.;1;1
do;yapmak;/duː/;du;I do my homework.;Ödevimi yaparım.;1;1
have;sahip olmak;/hæv/;hev;I have a dog.;Bir köpeğim var.;1;1
be;olmak;/biː/;bii;I am a student.;Ben bir öğrenciyim.;1;1
can;#AD?;/kæn/;ken;I can swim.;Yüzebilirim.;1;1
must;zorunda olmak;/mʌst/;mast;I must study.;Ders çalışmalıyım.;1;1
this;bu;/ðɪs/;dis;This is my book.;Bu benim kitabım.;1;1
that;şu;/ðæt/;det;That is your car.;Şu senin araban.;1;1
here;burada;/hɪr/;hir;Come here.;Buraya gel.;1;1
there;orada;/ðer/;der;He is there.;O orada.;1;1
in;içinde;/ɪn/;in;The cat is in the box.;Kedi kutunun içinde.;1;1
on;üstünde;/ɑːn/;an;The book is on the table.;Kitap masanın üstünde.;1;1
under;altında;/ˈʌn.dər/;andır;The ball is under the chair.;Top sandalyenin altında.;1;1
with;ile;/wɪð/;vid;I go with my friend.;Arkadaşımla giderim.;1;1
without;olmadan;/wɪˈðaʊt/;vidaut;I go without you.;Sensiz giderim.;1;1
for;için;/fɔːr/;for;This is for you.;Bu senin için.;1;1
from;#AD?;/frʌm/;fram;I come from Turkey.;Türkiye’den geliyorum.;1;1
to;#AD?;/tuː/;tu;I go to school.;Okula giderim.;1;1
and;ve;/ænd/;end;I eat bread and cheese.;Ekmek ve peynir yerim.;1;1
or;veya;/ɔːr/;or;Tea or coffee?;Çay mı kahve mi?;1;1
pen;kalem;/pen/;pen;This is my pen.;Bu benim kalemim.;1;1
pencil;kurşun kalem;/ˈpen.səl/;pensıl;I have a pencil.;Bir kurşun kalemim var.;1;1
bag;çanta;/bæɡ/;beg;My bag is heavy.;Çantam ağır.;1;1
phone;telefon;/foʊn/;foun;My phone is new.;Telefonum yeni.;6;1
computer;bilgisayar;/kəmˈpjuː.tər/;kompiyutır;I use a computer.;Bilgisayar kullanırım.;6;1
screen;ekran;/skriːn/;skriin;The screen is bright.;Ekran parlak.;6;1
keyboard;klavye;/ˈkiː.bɔːrd/;kiibord;The keyboard is black.;Klavye siyah.;6;1
mouse;fare;/maʊs/;maus;The mouse is small.;Fare küçük.;6;1
internet;internet;/ˈɪn.tər.net/;intırnet;I use the internet.;İnterneti kullanırım.;6;1
picture;resim;/ˈpɪk.tʃər/;pikçır;This is a picture.;Bu bir resim.;1;1
photo;fotoğraf;/ˈfoʊ.toʊ/;fotou;I take a photo.;Fotoğraf çekerim.;1;1
music;müzik;/ˈmjuː.zɪk/;myuzik;I listen to music.;Müzik dinlerim.;7;1
song;şarkı;/sɔːŋ/;song;This song is nice.;Bu şarkı güzel.;7;1
movie;film;/ˈmuː.vi/;muvi;I watch a movie.;Film izlerim.;7;1
game;oyun;/ɡeɪm/;geym;I play a game.;Oyun oynarım.;7;1
park;park;/pɑːrk/;paark;The park is big.;Park büyük.;1;1
street;sokak;/striːt/;striit;The street is busy.;Sokak kalabalık.;1;1
road;yol;/roʊd/;roud;This road is long.;Bu yol uzun.;1;1
shop;mağaza;/ʃɑːp/;şap;I go to the shop.;Mağazaya giderim.;2;1
market;market;/ˈmɑːr.kɪt/;market;I go to the market.;Markete giderim.;2;1
restaurant;restoran;/ˈres.tə.rɑːnt/;restırant;The restaurant is full.;Restoran dolu.;4;1
cafe;kafe;/kæˈfeɪ/;kafe;We sit in a cafe.;Bir kafede otururuz.;4;1
hospital;hastane;/ˈhɑː.spɪ.təl/;haspital;He is in the hospital.;O hastanede.;5;1
doctor;doktor;/ˈdɑːk.tər/;doktır;The doctor helps me.;Doktor bana yardım eder.;5;1
nurse;hemşire;/nɜːrs/;nörs;The nurse is kind.;Hemşire nazik.;5;1
police;polis;/pəˈliːs/;pıliis;The police are here.;Polis burada.;1;1
job;iş;/dʒɑːb/;cab;I have a job.;Bir işim var.;2;1
money;para;/ˈmʌn.i/;mani;I need money.;Paraya ihtiyacım var.;2;1
price;fiyat;/praɪs/;prays;The price is high.;Fiyat yüksek.;2;1
ticket;bilet;/ˈtɪk.ɪt/;tikit;I buy a ticket.;Bilet alırım.;4;1
bus;otobüs;/bʌs/;bas;I take the bus.;Otobüse binerim.;4;1
train;tren;/treɪn/;treyn;The train is fast.;Tren hızlı.;4;1
plane;uçak;/pleɪn/;pleyn;The plane is big.;Uçak büyük.;4;1
airport;havaalanı;/ˈer.pɔːrt/;erport;I am at the airport.;Havaalanındayım.;4;1
travel;seyahat;/ˈtræv.əl/;trevel;I love to travel.;Seyahat etmeyi severim.;4;1
holiday;tatil;/ˈhɑː.lə.deɪ/;halidey;I am on holiday.;Tatildeyim.;4;1
beach;plaj;/biːtʃ/;biiç;The beach is beautiful.;Plaj güzel.;4;1
sea;deniz;/siː/;sii;The sea is blue.;Deniz mavi.;4;1
sun;güneş;/sʌn/;san;The sun is hot.;Güneş sıcak.;1;1
rain;yağmur;/reɪn/;reyn;The rain is heavy.;Yağmur şiddetli.;1;1
snow;kar;/snoʊ/;snou;The snow is white.;Kar beyaz.;1;1
wind;rüzgar;/wɪnd/;vind;The wind is strong.;Rüzgar güçlü.;1;1
sky;gökyüzü;/skaɪ/;skay;The sky is clear.;Gökyüzü açık.;1;1
cloud;bulut;/klaʊd/;klaud;The cloud is gray.;Bulut gri.;1;1
tree;ağaç;/triː/;trii;The tree is tall.;Ağaç uzun.;1;1
flower;çiçek;/ˈflaʊ.ər/;flaor;The flower is red.;Çiçek kırmızı.;1;1
grass;çimen;/ɡræs/;gres;The grass is green.;Çimen yeşil.;1;1
animal;hayvan;/ˈæn.ɪ.məl/;enimıl;This is an animal.;Bu bir hayvan.;1;1
bird;kuş;/bɜːrd/;börd;The bird flies.;Kuş uçar.;1;1
fish;balık;/fɪʃ/;fiş;The fish swims.;Balık yüzer.;1;1
horse;at;/hɔːrs/;hors;The horse runs.;At koşar.;1;1
cow;inek;/kaʊ/;kau;The cow eats grass.;İnek çimen yer.;1;1
sheep;koyun;/ʃiːp/;şiip;The sheep is white.;Koyun beyaz.;1;1
egg;yumurta;/eɡ/;eg;I eat an egg.;Yumurta yerim.;1;1
cheese;peynir;/tʃiːz/;çiiz;I like cheese.;Peynir severim.;1;1
butter;tereyağı;/ˈbʌt̬.ər/;badır;I use butter.;Tereyağı kullanırım.;1;1
sugar;şeker;/ˈʃʊɡ.ər/;şugır;Sugar is sweet.;Şeker tatlıdır.;1;1
salt;tuz;/sɔːlt/;solt;Add some salt.;Biraz tuz ekle.;1;1
tea;çay;/tiː/;tii;I drink tea.;Çay içerim.;1;1
coffee;kahve;/ˈkɔː.fi/;kofi;I drink coffee.;Kahve içerim.;1;1
juice;meyve suyu;/dʒuːs/;cuus;I drink juice.;Meyve suyu içerim.;1;1
bottle;şişe;/ˈbɑː.t̬əl/;batıl;The bottle is full.;Şişe dolu.;1;1
cup;fincan;/kʌp/;kap;The cup is small.;Fincan küçük.;1;1
glass;bardak;/ɡlæs/;gles;The glass is clean.;Bardak temiz.;1;1
plate;tabak;/pleɪt/;pleyt;The plate is on the table.;Tabak masanın üstünde.;1;1
knife;bıçak;/naɪf/;nayf;The knife is sharp.;Bıçak keskin.;1;1
fork;çatal;/fɔːrk/;fork;I use a fork.;Çatal kullanırım.;1;1
spoon;kaşık;/spuːn/;سپuun;I use a spoon.;Kaşık kullanırım.;1;1
kitchen;mutfak;/ˈkɪtʃ.ən/;kiçın;The kitchen is clean.;Mutfak temiz.;1;1
bathroom;banyo;/ˈbæθ.ruːm/;bethrum;The bathroom is small.;Banyo küçük.;1;1
bedroom;yatak odası;/ˈbed.ruːm/;bedrım;The bedroom is quiet.;Yatak odası sessiz.;1;1
living room;oturma odası;/ˈlɪv.ɪŋ ruːm/;living ruum;We sit in the living room.;Oturma odasında otururuz.;1;1
floor;zemin;/flɔːr/;flor;The floor is dirty.;Zemin kirli.;1;1
wall;duvar;/wɔːl/;vol;The wall is white.;Duvar beyaz.;1;1
roof;çatı;/ruːf/;ruuf;The roof is red.;Çatı kırmızı.;1;1
key;anahtar;/kiː/;kii;I have a key.;Bir anahtarım var.;1;1
lock;kilit;/lɑːk/;lak;The lock is closed.;Kilit kapalı.;1;1
light;ışık;/laɪt/;layt;Turn on the light.;Işığı aç.;1;1
dark;karanlık;/dɑːrk/;daark;The room is dark.;Oda karanlık.;1;1
clean;temiz;/kliːn/;kliin;The room is clean.;Oda temiz.;1;1
dirty;kirli;/ˈdɜːr.ti/;dörti;The room is dirty.;Oda kirli.;1;1
full;dolu;/fʊl/;ful;The glass is full.;Bardak dolu.;1;1
empty;boş;/ˈemp.ti/;empti;The glass is empty.;Bardak boş.;1;1
early;erken;/ˈɜːr.li/;örli;I wake up early.;Erken uyanırım.;1;1
late;geç;/leɪt/;leyt;I am late.;Geç kaldım.;1;1
always;her zaman;/ˈɔːl.weɪz/;olweyz;I always study.;Her zaman ders çalışırım.;1;1
usually;genellikle;/ˈjuː.ʒu.ə.li/;yujıuali;I usually drink tea.;Genellikle çay içerim.;1;1
sometimes;bazen;/ˈsʌm.taɪmz/;samtaymz;I sometimes go out.;Bazen dışarı çıkarım.;1;1
never;asla;/ˈnev.ər/;nevır;I never smoke.;Asla sigara içmem.;1;1
again;tekrar;/əˈɡen/;agen;Say it again.;Tekrar söyle.;1;1
already;zaten;/ɔːlˈred.i/;olredi;I already ate.;Zaten yedim.;1;1
maybe;belki;/ˈmeɪ.bi/;meybi;Maybe tomorrow.;Belki yarın.;1;1
very;çok;/ˈver.i/;veri;This is very good.;Bu çok iyi.;1;1
too;fazla;/tuː/;tu;This is too hot.;Bu fazla sıcak.;1;1
also;ayrıca;/ˈɔːl.soʊ/;also;I also like coffee.;Ben de kahve severim.;1;1
head;kafa;/hed/;hed;My head hurts.;Başım ağrıyor.;5;1
face;yüz;/feɪs/;feys;Wash your face.;Yüzünü yıka.;5;1
eye;göz;/aɪ/;ay;My eyes are blue.;Gözlerim mavi.;5;1
nose;burun;/noʊz/;nouz;My nose is small.;Burnum küçük.;5;1
mouth;ağız;/maʊθ/;mauth;Open your mouth.;Ağzını aç.;5;1
ear;kulak;/ɪr/;ir;My ear hurts.;Kulağım ağrıyor.;5;1
hair;saç;/her/;her;Her hair is long.;Onun saçı uzun.;5;1
hand;el;/hænd/;hend;My hands are cold.;Ellerim soğuk.;5;1
arm;kol;/ɑːrm/;aarm;My arm is strong.;Kolum güçlü.;5;1
leg;bacak;/leɡ/;leg;My leg hurts.;Bacağım ağrıyor.;5;1
foot;ayak;/fʊt/;fut;My foot is big.;Ayağım büyük.;5;1
finger;parmak;/ˈfɪŋ.ɡər/;fingır;I cut my finger.;Parmağımı kestim.;5;1
body;vücut;/ˈbɑː.di/;badi;My body is tired.;Vücudum yorgun.;5;1
back;sırt;/bæk/;bek;My back hurts.;Sırtım ağrıyor.;5;1
stomach;mide;/ˈstʌm.ək/;stamık;My stomach is full.;Midem dolu.;5;1
heart;kalp;/hɑːrt/;haart;My heart is happy.;Kalbim mutlu.;5;1
tooth;diş;/tuːθ/;tuuth;My tooth hurts.;Dişim ağrıyor.;5;1
blood;kan;/blʌd/;blad;There is blood.;Kan var.;5;1
clothes;kıyafetler;/kloʊðz/;kloz;My clothes are clean.;Kıyafetlerim temiz.;1;1
shirt;gömlek;/ʃɜːrt/;şört;I wear a shirt.;Gömlek giyerim.;1;1
t-shirt;tişört;/ˈtiː.ʃɜːrt/;tiişört;I wear a t-shirt.;Tişört giyerim.;1;1
pants;pantolon;/pænts/;pents;My pants are new.;Pantolonum yeni.;1;1
dress;elbise;/dres/;dres;She wears a dress.;O elbise giyer.;1;1
skirt;etek;/skɜːrt/;skört;The skirt is short.;Etek kısa.;1;1
shoe;ayakkabı;/ʃuː/;şuu;My shoes are black.;Ayakkabılarım siyah.;1;1
sock;çorap;/sɑːk/;sak;My socks are white.;Çoraplarım beyaz.;1;1
jacket;ceket;/ˈdʒæk.ɪt/;cekit;I wear a jacket.;Ceket giyerim.;1;1
coat;mont;/koʊt/;kout;I wear a coat.;Mont giyerim.;1;1
hat;şapka;/hæt/;het;I wear a hat.;Şapka takarım.;1;1
belt;kemer;/belt/;belt;The belt is brown.;Kemer kahverengi.;1;1
color;renk;/ˈkʌl.ər/;kalır;My favorite color is blue.;En sevdiğim renk mavi.;1;1
red;kırmızı;/red/;red;The apple is red.;Elma kırmızı.;1;1
blue;mavi;/bluː/;blu;The sky is blue.;Gökyüzü mavi.;1;1
green;yeşil;/ɡriːn/;griin;The grass is green.;Çimen yeşil.;1;1
yellow;sarı;/ˈjel.oʊ/;yelou;The sun is yellow.;Güneş sarı.;1;1
black;siyah;/blæk/;blek;My car is black.;Arabam siyah.;1;1
white;beyaz;/waɪt/;vayt;The snow is white.;Kar beyaz.;1;1
brown;kahverengi;/braʊn/;braun;The dog is brown.;Köpek kahverengi.;1;1
orange;turuncu;/ˈɔːr.ɪndʒ/;orınc;The orange is sweet.;Portakal tatlı.;1;1
pink;pembe;/pɪŋk/;pink;The flower is pink.;Çiçek pembe.;1;1
number;sayı;/ˈnʌm.bər/;nambır;This number is big.;Bu sayı büyük.;1;1
zero;sıfır;/ˈzɪr.oʊ/;ziro;The answer is zero.;Cevap sıfır.;1;1
one;bir;/wʌn/;van;I have one book.;Bir kitabım var.;1;1
two;iki;/tuː/;tu;I have two pens.;İki kalemim var.;1;1
three;üç;/θriː/;thrii;I see three cats.;Üç kedi görüyorum.;1;1
four;dört;/fɔːr/;for;I have four friends.;Dört arkadaşım var.;1;1
five;beş;/faɪv/;fayv;I have five apples.;Beş elmam var.;1;1
six;altı;/sɪks/;siks;I see six birds.;Altı kuş görüyorum.;1;1
seven;yedi;/ˈsev.ən/;sevın;I have seven days.;Yedi günüm var.;1;1
eight;sekiz;/eɪt/;eyt;I see eight cars.;Sekiz araba görüyorum.;1;1
nine;dokuz;/naɪn/;nayn;I have nine books.;Dokuz kitabım var.;1;1
ten;on;/ten/;ten;I have ten fingers.;On parmağım var.;1;1
week;hafta;/wiːk/;wiik;A week has seven days.;Bir hafta yedi gündür.;1;1
month;ay;/mʌnθ/;manth;A month has 30 days.;Bir ay 30 gündür.;1;1
year;yıl;/jɪr/;yir;A year has 12 months.;Bir yıl 12 aydır.;1;1
Monday;Pazartesi;/ˈmʌn.deɪ/;mande;Monday is busy.;Pazartesi yoğun.;1;1
Tuesday;Salı;/ˈtuːz.deɪ/;tuuzde;Tuesday is long.;Salı uzun.;1;1
Wednesday;Çarşamba;/ˈwenz.deɪ/;venzde;Wednesday is cold.;Çarşamba soğuk.;1;1
Thursday;Perşembe;/ˈθɜːrz.deɪ/;thörzde;Thursday is nice.;Perşembe güzel.;1;1
Friday;Cuma;/ˈfraɪ.deɪ/;frayde;Friday is fun.;Cuma eğlenceli.;1;1
Saturday;Cumartesi;/ˈsæt̬.ɚ.deɪ/;setırde;Saturday is free.;Cumartesi boş.;1;1
Sunday;Pazar;/ˈsʌn.deɪ/;sande;Sunday is calm.;Pazar sakin.;1;1
time;zaman;/taɪm/;taym;Time is important.;Zaman önemli.;1;1
hour;saat;/ˈaʊ.ər/;auır;One hour is short.;Bir saat kısa.;1;1
minute;dakika;/ˈmɪn.ɪt/;minit;Wait a minute.;Bir dakika bekle.;1;1
second;saniye;/ˈsek.ənd/;sekınd;Wait a second.;Bir saniye bekle.;1;1
question;soru;/ˈkwes.tʃən/;kuesçın;I ask a question.;Bir soru sorarım.;3;1
answer;cevap;/ˈæn.sər/;ensır;The answer is correct.;Cevap doğru.;3;1
problem;problem;/ˈprɑː.bləm/;prablem;I have a problem.;Bir problemim var.;3;1
idea;fikir;/aɪˈdiː.ə/;aydia;This is a good idea.;Bu iyi bir fikir.;3;1
example;örnek;/ɪɡˈzæm.pəl/;igzempıl;This is an example.;Bu bir örnek.;3;1
test;sınav;/test/;test;I have a test.;Sınavım var.;3;1
lesson;ders;/ˈles.ən/;lesın;The lesson is easy.;Ders kolay.;3;1
class;sınıf;/klæs/;kles;The class is full.;Sınıf dolu.;3;1
break;mola;/breɪk/;breyk;I take a break.;Mola veririm.;1;1
start;başlamak;/stɑːrt/;start;I start now.;Şimdi başlıyorum.;1;1
finish;bitirmek;/ˈfɪn.ɪʃ/;finiş;I finish my work.;İşimi bitiririm.;1;1
help;yardım etmek;/help/;help;I help you.;Sana yardım ederim.;7;1
ask;sormak;/æsk/;esk;I ask a question.;Bir soru sorarım.;3;1
answer (verb);cevaplamak;/ˈæn.sər/;ensır;I answer the question.;Soruyu cevaplarım.;3;1
call;aramak;/kɔːl/;kol;I call my friend.;Arkadaşımı ararım.;1;1
send;göndermek;/send/;send;I send a message.;Mesaj gönderirim.;6;1
receive;almak;/rɪˈsiːv/;risiiv;I receive a gift.;Hediye alırım.;6;1
meet;buluşmak;/miːt/;miit;I meet my friend.;Arkadaşımla buluşurum.;7;1
visit;ziyaret etmek;/ˈvɪz.ɪt/;vizit;I visit my family.;Ailemi ziyaret ederim.;4;1
stay;kalmak;/steɪ/;stey;I stay at home.;Evde kalırım.;4;1
leave;ayrılmak;/liːv/;liiv;I leave early.;Erken ayrılırım.;4;1
arrive;varmak;/əˈraɪv/;arayv;I arrive late.;Geç varırım.;4;1
bring;getirmek;/brɪŋ/;bring;I bring food.;Yemek getiririm.;1;1
carry;taşımak;/ˈker.i/;keri;I carry a bag.;Çanta taşırım.;1;1
wear;giymek;/wer/;ver;I wear shoes.;Ayakkabı giyerim.;1;1
try;denemek;/traɪ/;tray;I try again.;Tekrar denerim.;1;1
choose;seçmek;/tʃuːz/;çuuz;I choose this.;Bunu seçerim.;1;1
use;kullanmak;/juːz/;yuuz;I use my phone.;Telefonumu kullanırım.;6;1
find;bulmak;/faɪnd/;faynd;I find my key.;Anahtarımı bulurum.;1;1
lose;kaybetmek;/luːz/;luuz;I lose my bag.;Çantamı kaybederim.;1;1
aunt;hala / teyze;/ænt/;ent;My aunt is kind.;Halam/Teyzem nazik.;7;1
uncle;amca / dayı;/ˈʌŋ.kəl/;ankıl;My uncle is tall.;Amcam/Dayım uzun.;7;1
cousin;kuzen;/ˈkʌz.ən/;kazın;My cousin is here.;Kuzenim burada.;7;1
baby;bebek;/ˈbeɪ.bi/;beybii;The baby is sleeping.;Bebek uyuyor.;7;1
child;çocuk;/tʃaɪld/;çayld;The child is playing.;Çocuk oynuyor.;7;1
people;insanlar;/ˈpiː.pəl/;piipıl;People are happy.;İnsanlar mutlu.;7;1
man;adam;/mæn/;men;The man is strong.;Adam güçlü.;7;1
woman;kadın;/ˈwʊm.ən/;vumen;The woman is smiling.;Kadın gülümsüyor.;7;1
boy;erkek çocuk;/bɔɪ/;boy;The boy runs fast.;Erkek çocuk hızlı koşar.;7;1
girl;kız çocuk;/ɡɜːrl/;görl;The girl is happy.;Kız çocuk mutlu.;7;1
neighbor;komşu;/ˈneɪ.bər/;neybur;My neighbor is friendly.;Komşum arkadaş canlısı.;7;1
guest;misafir;/ɡest/;gest;The guest is here.;Misafir burada.;7;1
host;ev sahibi;/hoʊst/;houst;The host is kind.;Ev sahibi nazik.;7;1
team;takım;/tiːm/;tiim;Our team is strong.;Takımımız güçlü.;7;1
group;grup;/ɡruːp/;gruup;The group is large.;Grup büyük.;7;1
place;yer;/pleɪs/;pleys;This place is nice.;Bu yer güzel.;1;1
area;alan;/ˈer.i.ə/;eria;This area is quiet.;Bu alan sakin.;1;1
location;konum;/loʊˈkeɪ.ʃən/;loukeyşın;The location is good.;Konum iyi.;4;1
center;merkez;/ˈsen.tər/;sentır;The center is busy.;Merkez kalabalık.;1;1
corner;köşe;/ˈkɔːr.nər/;kornır;The shop is on the corner.;Mağaza köşede.;1;1
entrance;giriş;/ˈen.trəns/;entrıns;The entrance is open.;Giriş açık.;4;1
exit;çıkış;/ˈek.sɪt/;eksit;The exit is there.;Çıkış orada.;4;1
office;ofis;/ˈɑː.fɪs/;afis;I work in an office.;Bir ofiste çalışırım.;2;1
company;şirket;/ˈkʌm.pə.ni/;kampıni;The company is big.;Şirket büyük.;2;1
factory;fabrika;/ˈfæk.tər.i/;fektıri;The factory is new.;Fabrika yeni.;2;1
farm;çiftlik;/fɑːrm/;فارم (farm);The farm is large.;Çiftlik büyük.;1;1
garden;bahçe;/ˈɡɑːr.dən/;gardın;The garden is green.;Bahçe yeşil.;1;1
yard;avlu;/jɑːrd/;yard;The yard is clean.;Avlu temiz.;1;1
bridge;köprü;/brɪdʒ/;bric;The bridge is long.;Köprü uzun.;1;1
river;nehir;/ˈrɪv.ər/;rivır;The river is wide.;Nehir geniş.;1;1
lake;göl;/leɪk/;leyk;The lake is calm.;Göl sakin.;1;1
mountain;dağ;/ˈmaʊn.tən/;mauntın;The mountain is high.;Dağ yüksek.;1;1
hill;tepe;/hɪl/;hil;The hill is small.;Tepe küçük.;1;1
island;ada;/ˈaɪ.lənd/;aylınd;The island is beautiful.;Ada güzel.;1;1
forest;orman;/ˈfɔːr.ɪst/;ফরıst;The forest is dark.;Orman karanlık.;1;1
desert;çöl;/ˈdez.ərt/;dezırt;The desert is hot.;Çöl sıcak.;1;1
weather;hava durumu;/ˈweð.ər/;vedır;The weather is cold.;Hava soğuk.;1;1
